Residues ID,SEPA Site,Submitted By,Licence Active at Report,Treatment Name,Active Ingredient,Sample Date,100 m Replicate 1 mg per kg,100 m Replicate 2 mg per kg,100 m Replicate 3 mg per kg,Site Name,Licence Holder,Receiving Water,Easting,Northing,Local Authority,National Grid Reference,Lat ,Long
47231,NNES2,Scottish Sea Farms Ltd,CAR/L/1004209,Slice,Emamectin Benzoate,28-Jul-10,1.23,3.71,2.74,North Nesting Site 2,Scottish Sea Farms Ltd,Dury Voe,446100,1162380,Shetland Islands,HU46106238,60.342842,-1.1666756
46639,CAG1,Marine Harvest (Scotland) Ltd,CAR/L/1009965,Slice,Emamectin Benzoate,15-Jul-10,2.37,2.18,2.2,Camus Glas,Marine Harvest (Scotland) Ltd,Loch Sunart,164550,758950,Highland,NM64555895,56.662881,-5.843829
47038,GCD1,Marine Harvest (Scotland) Ltd,CAR/L/1009972,Slice,Emamectin Benzoate,14-Jul-10,3.07,1.2,2.49,Glencripesdale,Marine Harvest (Scotland) Ltd,Loch Sunart,167600,760700,Highland,NM67606070,56.680093,-5.7957609
47129,INV1,Marine Harvest (Scotland) Ltd,CAR/L/1009162,Slice,Emamectin Benzoate,13-Jul-10,3.04,1.8,2.14,Invasion Bay,Marine Harvest (Scotland) Ltd,Loch Sunart,173310,761020,Highland,NM73316102,56.685765,-5.7030449
46558,ARDT1,Marine Harvest (Scotland) Ltd,CAR/L/1001806,Slice,Emamectin Benzoate,20-Apr-10,1.48,1.07,0.96,Ardintoul,Marine Harvest (Scotland) Ltd,Loch Alsh,182410,824200,Highland,NG82412420,57.256542,-5.6092323
46806,FFMC02,Lighthouse Caledonia Ltd,CAR/L/1015850,Slice,Emamectin Benzoate,22-Mar-10,1.58,1.09,0.82,St Molios,The Scottish Salmon Company Ltd,Lamlash Bay,204500,629200,North Ayrshire,NS04502920,55.5173,-5.0981572
46785,ERI3,Marine Harvest (Scotland) Ltd,CAR/L/1004085,Slice,Emamectin Benzoate,08-Mar-10,1.4,1.62,1.14,"Erisort, North Shore West",Marine Harvest (Scotland) Ltd,Loch Erisort,139089,922756,Eilean Siar,NB39092276,58.116604,-6.4319483
47370,SHNEM2,Marine Harvest (Scotland) Ltd,CAR/L/1004218,Slice,Emamectin Benzoate,05-Mar-10,2.05,2.14,2.49,Mid Loch Shell / Pairc - East (C & D cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,135400,910200,Eilean Siar,NB35401020,58.001949,-6.4802541
47365,SHNEM1,Marine Harvest (Scotland) Ltd,CAR/L/1001802,Slice,Emamectin Benzoate,05-Mar-10,1.45,1.11,1.26,Mid Loch Shell / Pairc - West (A & B cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,134700,910300,Eilean Siar,NB34701030,58.002428,-6.4921729
47454,TOR1,Loch Duart Ltd,CAR/L/1001827,Slice,Emamectin Benzoate,08-Feb-10,1.53,1.77,1.62,Torgawn,Loch Duart Ltd,Loch a Chairn Bhain,220300,933200,Highland,NC20303320,58.250692,-5.0638166
47283,PORL1,Marine Harvest (Scotland) Ltd,CAR/L/1002889,Slice,Emamectin Benzoate,02-Feb-10,2.04,1.66,2.82,Portnalong,Marine Harvest (Scotland) Ltd,Loch Bracadale,134920,835500,Highland,NG34923550,57.33271,-6.4063044
